unit_number,card_type,eponym,name,normal_card_id,rank_max_card_id,normal_unit_navi_asset_id,rank_max_unit_navi_asset_id,rarity,card_color,smile_max,pure_max,cool_max,center_skill_description,skill_effect_type,skill_type_name,skill_lv_8_description,skill_lv_max_description
40,1,None,園田海未,211,212,85,86,2,2,1880,3410,2330,ピュアPが3%UPする,9,体力回復,PERFECTを15回達成するごとに50%の確率で体力が3回復する,PERFECTを15回達成するごとに50%の確率で体力が3回復する
41,1,None,星空凛,216,217,87,88,2,2,2240,3460,1920,ピュアPが3%UPする,9,体力回復,10秒ごとに50%の確率で体力が3回復する,10秒ごとに50%の確率で体力が3回復する
42,1,None,西木野真姫,221,222,89,90,2,2,2060,3110,2440,ピュアPが3%UPする,9,体力回復,PERFECTを15回達成するごとに50%の確率で体力が3回復する,PERFECTを15回達成するごとに50%の確率で体力が3回復する
43,1,None,東條希,226,227,91,92,2,2,1790,3870,2050,ピュアPが3%UPする,9,体力回復,コンボ17を達成するごとに50%の確率で体力が3回復する,コンボ17を達成するごとに50%の確率で体力が3回復する
44,1,None,小泉花陽,231,232,93,94,2,2,2000,3930,1780,ピュアPが3%UPする,9,体力回復,コンボ17を達成するごとに50%の確率で体力が3回復する,コンボ17を達成するごとに50%の確率で体力が3回復する
45,1,None,矢澤にこ,236,237,95,96,2,2,1970,3210,2430,ピュアPが3%UPする,9,体力回復,10秒ごとに50%の確率で体力が3回復する,10秒ごとに50%の確率で体力が3回復する
46,1,None,高坂穂乃果,151,152,61,62,2,3,2510,1860,3050,クールPが3%UPする,11,SCOREアップ,PERFECTを15回達成するごとに50%の確率でスコアが400増える,PERFECTを15回達成するごとに50%の確率でスコアが440増える
47,1,None,絢瀬絵里,156,157,63,64,2,3,2020,1770,3830,クールPが3%UPする,11,SCOREアップ,PERFECTを15回達成するごとに50%の確率でスコアが400増える,PERFECTを15回達成するごとに50%の確率でスコアが440増える
48,1,None,南ことり,161,162,65,66,2,3,1790,2360,3270,クールPが3%UPする,11,SCOREアップ,10秒ごとに50%の確率でスコアが400増える,10秒ごとに50%の確率でスコアが430増える
49,1,None,園田海未,166,167,67,68,2,3,2160,1790,3670,クールPが3%UPする,11,SCOREアップ,PERFECTを15回達成するごとに50%の確率でスコアが400増える,PERFECTを15回達成するごとに50%の確率でスコアが440増える
50,1,None,星空凛,171,172,69,70,2,3,2390,1960,3110,クールPが3%UPする,11,SCOREアップ,PERFECTを15回達成するごとに50%の確率でスコアが400増える,PERFECTを15回達成するごとに50%の確率でスコアが440増える
51,1,None,西木野真姫,176,177,71,72,2,3,1840,2060,3720,クールPが3%UPする,11,SCOREアップ,PERFECTを15回達成するごとに50%の確率でスコアが400増える,PERFECTを15回達成するごとに50%の確率でスコアが440増える
52,1,None,東條希,181,182,73,74,2,3,1850,2350,3230,クールPが3%UPする,11,SCOREアップ,10秒ごとに50%の確率でスコアが400増える,10秒ごとに50%の確率でスコアが430増える
53,1,None,小泉花陽,186,187,75,76,2,3,1960,2380,3080,クールPが3%UPする,11,SCOREアップ,10秒ごとに50%の確率でスコアが400増える,10秒ごとに50%の確率でスコアが430増える
54,1,None,矢澤にこ,191,192,77,78,2,3,2250,1910,3260,クールPが3%UPする,11,SCOREアップ,PERFECTを15回達成するごとに50%の確率でスコアが400増える,PERFECTを15回達成するごとに50%の確率でスコアが440増える
55,1,笑顔全開！,高坂穂乃果,286,287,115,116,3,1,4610,4010,3510,スマイルPが6%UPする,11,SCOREアップ,10秒ごとに50%の確率でスコアが1095増える,10秒ごとに50%の確率でスコアが1525増える
56,1,ハラショー♪,絢瀬絵里,291,292,117,118,3,3,3760,4060,4310,クールPが6%UPする,11,SCOREアップ,リズムアイコン20個ごとに50%の確率でスコアが585増える,リズムアイコン20個ごとに50%の確率でスコアが1005増える
57,1,癒しの女神,南ことり,296,297,119,120,3,2,3910,4600,3620,ピュアPが6%UPする,9,体力回復,10秒ごとに50%の確率で体力が4回復する,10秒ごとに50%の確率で体力が6回復する
58,1,精神統一,園田海未,301,302,121,122,3,3,4110,3580,4440,クールPが6%UPする,5,判定強化・大,10秒ごとに50%の確率で判定が6.5秒間強化される,10秒ごとに50%の確率で判定が9.7秒間強化される
59,1,μ'ｓの元気印,星空凛,306,307,123,124,3,1,4710,3960,3460,スマイルPが6%UPする,5,判定強化・大,リズムアイコン20個ごとに50%の確率で判定が6.5秒間強化される,リズムアイコン20個ごとに50%の確率で判定が9.9秒間強化される
60,1,放課後の歌姫,西木野真姫,311,312,125,126,3,3,3540,3910,4680,クールPが6%UPする,9,体力回復,リズムアイコン20個ごとに50%の確率で体力が4回復する,リズムアイコン20個ごとに50%の確率で体力が7回復する
61,1,スピリチュアルパワー,東條希,316,317,127,128,3,2,3750,4410,3970,ピュアPが6%UPする,5,判定強化・大,コンボ17を達成するごとに50%の確率で判定が6.5秒間強化される,コンボ17を達成するごとに50%の確率で判定が9.6秒間強化される
62,1,炊き立てご飯です♪,小泉花陽,321,322,129,130,3,2,4050,4630,3450,ピュアPが6%UPする,11,SCOREアップ,コンボ17を達成するごとに50%の確率でスコアが585増える,コンボ17を達成するごとに50%の確率でスコアが990増える
63,1,にっこにっこにー,矢澤にこ,326,327,131,132,3,1,4460,3680,3990,スマイルPが6%UPする,9,体力回復,コンボ17を達成するごとに50%の確率で体力が4回復する,コンボ17を達成するごとに50%の確率で体力が6回復する
64,1,アイドルへの想い,小泉花陽,331,332,133,134,4,2,4490,5230,4070,ピュアPが9%UPする＋μ'sのメンバーはさらにピュアPが3%UPする,9,体力回復,リズムアイコン20個ごとに78%の確率で体力が6回復する,リズムアイコン20個ごとに78%の確率で体力が19回復する
65,3,None,高坂穂乃果,346,346,139,139,4,1,4850,4150,3850,スマイルPが3%UPする,11,SCOREアップ,コンボ17を達成するごとに50%の確率でスコアが400増える,コンボ17を達成するごとに50%の確率でスコアが440増える
66,1,小悪魔ガール,矢澤にこ,355,356,142,143,4,1,5280,4390,4120,スマイルPが9%UPする＋μ'sのメンバーはさらにスマイルPが3%UPする,11,SCOREアップ,PERFECTを15回達成するごとに64%の確率でスコアが2255増える,PERFECTを15回達成するごとに64%の確率でスコアが7475増える
67,3,None,南ことり,428,428,170,170,4,2,4240,4860,3840,ピュアPが3%UPする,9,体力回復,コンボ17を達成するごとに50%の確率で体力が3回復する,コンボ17を達成するごとに50%の確率で体力が3回復する
68,3,None,園田海未,360,360,144,144,4,3,3920,4080,4840,クールPが3%UPする,11,SCOREアップ,PERFECTを15回達成するごとに50%の確率でスコアが400増える,PERFECTを15回達成するごとに50%の確率でスコアが440増える
69,1,None,黒崎隼,364,365,145,146,1,1,2170,640,840,,,,,
70,1,None,門田剣,379,380,151,152,1,3,890,710,2050,,,,,
71,1,炎の心,高坂穂乃果,384,385,153,154,3,1,4680,3580,4030,スマイルPが6%UPする,9,体力回復,リズムアイコン26個ごとに50%の確率で体力が5回復する,リズムアイコン26個ごとに50%の確率で体力が9回復する
72,1,運命のカード,東條希,394,395,157,158,3,2,3990,4510,3790,ピュアPが6%UPする,11,SCOREアップ,8秒ごとに50%の確率でスコアが865増える,8秒ごとに50%の確率でスコアが1225増える
73,1,ラブアローシュート！,園田海未,350,351,140,141,4,3,4190,4350,5250,クールPが9%UPする＋μ'sのメンバーはさらにクールPが3%UPする,5,判定強化・大,9秒ごとに71%の確率で判定が9秒間強化される,9秒ごとに71%の確率で判定が18.6秒間強化される
74,1,None,設楽ふみ,369,370,147,148,1,2,730,2370,1000,,,,,
75,1,ひつじのきもち,南ことり,389,390,155,156,3,2,3910,4330,4050,ピュアPが6%UPする,11,SCOREアップ,リズムアイコン10個ごとに50%の確率でスコアが245増える,リズムアイコン10個ごとに50%の確率でスコアが465増える
76,1,None,桐原優香,374,375,149,150,1,2,590,1800,810,,,,,
77,1,秘密の診察室,西木野真姫,432,433,171,172,3,3,3890,3670,4730,クールPが6%UPする,11,SCOREアップ,コンボ35を達成するごとに50%の確率でスコアが1290増える,コンボ35を達成するごとに50%の確率でスコアが2025増える
78,1,ご注文のお品物です♪,小泉花陽,419,420,167,168,3,2,3570,4710,4010,ピュアPが6%UPする,9,体力回復,18秒ごとに50%の確率で体力が8回復する,18秒ごとに50%の確率で体力が11回復する
79,1,笑顔のステージ,高坂穂乃果,336,337,135,136,4,1,5220,4490,4080,スマイルPが9%UPする＋μ'sのメンバーはさらにスマイルPが3%UPする,5,判定強化・大,リズムアイコン30個ごとに71%の確率で判定が9.5秒間強化される,リズムアイコン30個ごとに71%の確率で判定が23.7秒間強化される
80,1,None,斉木風,404,405,161,162,1,1,2410,970,720,,,,,
81,1,幸運の白うさぎ,園田海未,414,415,165,166,3,3,3860,4050,4380,クールPが6%UPする,11,SCOREアップ,PERFECTを12回達成するごとに50%の確率でスコアが320増える,PERFECTを12回達成するごとに50%の確率でスコアが675増える
82,3,None,小泉花陽,424,424,169,169,4,2,4220,4870,3850,ピュアPが3%UPする,9,体力回復,コンボ17を達成するごとに50%の確率で体力が3回復する,コンボ17を達成するごとに50%の確率で体力が3回復する
83,4,None,アルパカ[白],437,437,173,173,2,1,1,1,1,,,,,
84,1,None,坂巻千鶴子,443,444,176,177,1,2,980,1910,510,,,,,
85,1,None,志賀仁美,448,449,178,179,1,3,730,590,2080,,,,,
86,1,ラブバインド,園田海未,453,454,180,181,3,3,3940,3790,4560,クールPが6%UPする,9,体力回復,14秒ごとに50%の確率で体力が6回復する,14秒ごとに50%の確率で体力が8回復する
87,1,凛をご覧下さいにゃ♪,星空凛,458,459,182,183,3,1,4720,3580,3990,スマイルPが6%UPする,11,SCOREアップ,PERFECTを26回達成するごとに50%の確率でスコアが955増える,PERFECTを26回達成するごとに50%の確率でスコアが1590増える
88,1,天使の歌声,南ことり,468,469,186,187,4,2,4380,5190,4220,ピュアPが9%UPする＋μ'sのメンバーはさらにピュアPが3%UPする,5,判定強化・大,17秒ごとに78%の確率で判定が16秒間強化される,17秒ごとに78%の確率で判定が31.4秒間強化される
89,1,None,福原命,438,439,174,175,1,1,2180,750,1170,,,,,
90,1,にこは人気者,矢澤にこ,463,464,184,185,3,1,4360,3910,4020,スマイルPが6%UPする,11,SCOREアップ,スコア15000達成ごとに20%の確率でスコアが1795増える,スコア15000達成ごとに20%の確率でスコアが2335増える
91,1,None,鬼崎アキラ,481,482,190,191,1,1,1630,610,820,,,,,
92,1,素敵なお菓子,南ことり,486,487,192,193,3,2,3930,4630,3730,ピュアPが6%UPする,5,判定強化・大,リズムアイコン35個ごとに73%の確率で判定が7.5秒間強化される,リズムアイコン35個ごとに73%の確率で判定が12秒間強化される
93,1,きまぐれにゃんこ,星空凛,501,502,198,199,3,1,4760,3850,3680,スマイルPが6%UPする,9,体力回復,リズムアイコン32個ごとに50%の確率で体力が6回復する,リズムアイコン32個ごとに50%の確率で体力が11回復する
94,1,あなたの心、頂きます,絢瀬絵里,341,342,137,138,4,3,4340,4190,5260,クールPが9%UPする＋μ'sのメンバーはさらにクールPが3%UPする,11,SCOREアップ,リズムアイコン20個ごとに64%の確率でスコアが2975増える,リズムアイコン20個ごとに64%の確率でスコアが9500増える
95,3,None,星空凛,473,473,188,188,4,1,4870,4120,3860,スマイルPが3%UPする,11,SCOREアップ,コンボ17を達成するごとに50%の確率でスコアが400増える,コンボ17を達成するごとに50%の確率でスコアが440増える
96,3,None,西木野真姫,477,477,189,189,4,3,3910,4060,4870,クールPが3%UPする,11,SCOREアップ,PERFECTを15回達成するごとに50%の確率でスコアが400増える,PERFECTを15回達成するごとに50%の確率でスコアが440増える
97,1,None,月島結架,506,507,200,201,1,1,1660,600,750,,,,,
98,1,None,兵藤さゆり,511,512,202,203,1,3,680,940,2030,,,,,
99,1,次の獲物はアナタ,西木野真姫,516,517,204,205,3,3,3750,3920,4610,クールPが6%UPする,5,判定強化・大,リズムアイコン32個ごとに50%の確率で判定が8.5秒間強化される,リズムアイコン32個ごとに50%の確率で判定が16.3秒間強化される
100,1,教えてあげる♪,矢澤にこ,521,522,206,207,3,1,4590,3790,3910,スマイルPが6%UPする,5,判定強化・大,13秒ごとに39%の確率で判定が11秒間強化される,13秒ごとに39%の確率で判定が16.1秒間強化される
101,1,運命の相手,東條希,526,527,208,209,4,2,4190,5300,4300,ピュアPが9%UPする＋μ'sのメンバーはさらにピュアPが3%UPする,11,SCOREアップ,コンボ17を達成するごとに64%の確率でスコアが2550増える,コンボ17を達成するごとに64%の確率でスコアが8200増える
102,1,None,蘭花,531,532,210,211,1,2,890,1820,520,,,,,
103,1,エリーの懺悔室,絢瀬絵里,546,547,216,217,3,3,3950,3740,4600,クールPが6%UPする,5,判定強化・大,リズムアイコン28個ごとに63%の確率で判定が7秒間強化される,リズムアイコン28個ごとに63%の確率で判定が11.1秒間強化される
104,1,たぬき寝入り♪,東條希,491,492,194,195,3,2,3910,4730,3650,ピュアPが6%UPする,9,体力回復,12秒ごとに53%の確率で体力が5回復する,12秒ごとに53%の確率で体力が7回復する
105,1,伝説のラーメン！,星空凛,551,552,218,219,4,1,5290,4340,4160,スマイルPが9%UPする＋μ'sのメンバーはさらにスマイルPが3%UPする,9,体力回復,リズムアイコン27個ごとに78%の確率で体力が7回復する,リズムアイコン27個ごとに78%の確率で体力が27回復する
106,1,None,紫藤美咲,496,497,196,197,1,3,1010,640,2000,,,,,
107,1,たべちゃうぞ？,高坂穂乃果,541,542,214,215,3,1,4530,3790,3970,スマイルPが6%UPする,11,SCOREアップ,スコア12000達成ごとに20%の確率でスコアが1590増える,スコア12000達成ごとに20%の確率でスコアが2065増える
108,3,None,高坂穂乃果,556,556,220,220,3,1,4300,3780,4060,スマイルPが3%UPする,11,SCOREアップ,PERFECTを15回達成するごとに50%の確率でスコアが400増える,PERFECTを15回達成するごとに50%の確率でスコアが440増える
109,3,None,高坂穂乃果,564,564,222,222,3,1,4510,4000,3720,スマイルPが3%UPする,9,体力回復,10秒ごとに50%の確率で体力が3回復する,10秒ごとに50%の確率で体力が3回復する
110,3,None,絢瀬絵里,568,568,223,223,3,3,3950,3710,4510,クールPが3%UPする,11,SCOREアップ,10秒ごとに50%の確率でスコアが400増える,10秒ごとに50%の確率でスコアが430増える
111,3,None,南ことり,572,572,224,224,3,2,3730,4430,3990,ピュアPが3%UPする,11,SCOREアップ,コンボ17を達成するごとに50%の確率でスコアが400増える,コンボ17を達成するごとに50%の確率でスコアが440増える
112,3,None,園田海未,576,576,225,225,3,3,4050,3700,4420,クールPが3%UPする,11,SCOREアップ,10秒ごとに50%の確率でスコアが400増える,10秒ごとに50%の確率でスコアが430増える
113,3,None,星空凛,580,580,226,226,3,1,4450,3730,4050,スマイルPが3%UPする,9,体力回復,10秒ごとに50%の確率で体力が3回復する,10秒ごとに50%の確率で体力が3回復する
114,3,None,西木野真姫,584,584,227,227,3,3,3730,3980,4460,クールPが3%UPする,11,SCOREアップ,10秒ごとに50%の確率でスコアが400増える,10秒ごとに50%の確率でスコアが430増える
115,3,None,東條希,588,588,228,228,3,2,3770,4420,3960,ピュアPが3%UPする,11,SCOREアップ,コンボ17を達成するごとに50%の確率でスコアが400増える,コンボ17を達成するごとに50%の確率でスコアが440増える
116,3,None,小泉花陽,592,592,229,229,3,2,3930,4550,3670,ピュアPが3%UPする,11,SCOREアップ,コンボ17を達成するごとに50%の確率でスコアが400増える,コンボ17を達成するごとに50%の確率でスコアが440増える
117,3,None,矢澤にこ,596,596,230,230,3,1,4430,4030,3770,スマイルPが3%UPする,9,体力回復,10秒ごとに50%の確率で体力が3回復する,10秒ごとに50%の確率で体力が3回復する
118,3,None,矢澤にこ,560,560,221,221,4,1,4860,4160,3870,スマイルPが3%UPする,11,SCOREアップ,10秒ごとに50%の確率でスコアが400増える,10秒ごとに50%の確率でスコアが430増える
119,3,None,南ことり,600,600,231,231,4,2,4270,4800,3820,ピュアPが3%UPする,11,SCOREアップ,10秒ごとに50%の確率でスコアが400増える,10秒ごとに50%の確率でスコアが430増える
120,1,None,ラクシャータ,604,605,232,233,1,2,590,2120,790,,,,,
121,1,None,レベッカ,609,610,234,235,1,3,780,570,2150,,,,,
122,1,海辺の太陽,高坂穂乃果,614,615,236,237,3,3,3960,3590,4680,クールPが6%UPする,5,判定強化・大,リズムアイコン20個ごとに54%の確率で判定が6秒間強化される,リズムアイコン20個ごとに54%の確率で判定が9.2秒間強化される
123,1,魅惑のマーメイド,絢瀬絵里,619,620,238,239,3,1,4710,3590,3930,スマイルPが6%UPする,5,判定強化・大,リズムアイコン22個ごとに48%の確率で判定が7.5秒間強化される,リズムアイコン22個ごとに48%の確率で判定が11.4秒間強化される
124,1,今日は海未の日♪,園田海未,624,625,240,241,3,2,3580,4750,3900,ピュアPが6%UPする,11,SCOREアップ,リズムアイコン28個ごとに50%の確率でスコアが800増える,リズムアイコン28個ごとに50%の確率でスコアが1410増える
125,1,夕焼けサマーガール,星空凛,629,630,242,243,3,3,3990,3580,4660,クールPが6%UPする,5,判定強化・大,リズムアイコン27個ごとに63%の確率で判定が8秒間強化される,リズムアイコン27個ごとに63%の確率で判定が10.4秒間強化される
126,1,誓いのメロディー,西木野真姫,399,400,159,160,4,3,4190,4320,5280,クールPが9%UPする＋μ'sのメンバーはさらにクールPが3%UPする,9,体力回復,11秒ごとに78%の確率で体力が7回復する,11秒ごとに78%の確率で体力が13回復する
127,1,真夏の熱視線☆,矢澤にこ,634,635,244,245,4,2,4340,5250,4200,ピュアPが9%UPする＋μ'sのメンバーはさらにピュアPが3%UPする,5,判定強化・大,リズムアイコン25個ごとに71%の確率で判定が8.5秒間強化される,リズムアイコン25個ごとに71%の確率で判定が19.2秒間強化される
128,1,None,綾小路姫乃,639,640,246,247,1,1,2060,990,600,,,,,
129,1,狐の嫁入り,絢瀬絵里,409,410,163,164,3,3,3860,3950,4480,クールPが6%UPする,11,SCOREアップ,コンボ30を達成するごとに50%の確率でスコアが1110増える,コンボ30を達成するごとに50%の確率でスコアが1615増える
130,1,None,黒羽咲良,644,645,248,249,1,3,570,850,2080,,,,,
131,1,可憐なマリンガール,南ことり,649,650,250,251,3,1,4670,3960,3600,スマイルPが6%UPする,11,SCOREアップ,リズムアイコン25個ごとに50%の確率でスコアが720増える,リズムアイコン25個ごとに50%の確率でスコアが1255増える
132,1,渚の歌姫,西木野真姫,654,655,252,253,3,2,3600,4720,3910,ピュアPが6%UPする,11,SCOREアップ,リズムアイコン18個ごとに50%の確率でスコアが515増える,リズムアイコン18個ごとに50%の確率でスコアが905増える
133,1,波打際のプリンセス,小泉花陽,659,660,254,255,3,3,3550,3990,4690,クールPが6%UPする,5,判定強化・大,10秒ごとに39%の確率で判定が8.5秒間強化される,10秒ごとに39%の確率で判定が12.4秒間強化される
134,1,真夏の果実☆,東條希,664,665,256,257,4,1,5270,4320,4200,スマイルPが9%UPする＋μ'sのメンバーはさらにスマイルPが3%UPする,5,判定強化・大,リズムアイコン23個ごとに72%の確率で判定が8秒間強化される,リズムアイコン23個ごとに72%の確率で判定が17.1秒間強化される
135,1,None,黒羽咲夜,536,537,212,213,1,2,920,2100,630,,,,,
136,1,不思議なシンパシー,小泉花陽,669,670,258,259,3,2,3960,4560,3770,ピュアPが6%UPする,11,SCOREアップ,PERFECTを33回達成するごとに50%の確率でスコアが1290増える,PERFECTを33回達成するごとに50%の確率でスコアが1770増える
137,3,None,高坂穂乃果,682,682,262,262,4,1,4860,3860,4260,スマイルPが3%UPする,9,体力回復,10秒ごとに50%の確率で体力が3回復する,10秒ごとに50%の確率で体力が3回復する
138,3,None,絢瀬絵里,674,674,260,260,4,3,3870,4170,4850,クールPが3%UPする,11,SCOREアップ,10秒ごとに50%の確率でスコアが400増える,10秒ごとに50%の確率でスコアが430増える
139,3,None,東條希,678,678,261,261,4,2,3920,4860,4200,ピュアPが3%UPする,9,体力回復,10秒ごとに50%の確率で体力が3回復する,10秒ごとに50%の確率で体力が3回復する
140,1,None,白瀬小雪,686,687,263,264,1,2,550,2070,780,,,,,
141,1,みんなと夏祭り,高坂穂乃果,696,697,267,268,3,2,3880,4650,3700,ピュアPが6%UPする,11,SCOREアップ,コンボ26を達成するごとに50%の確率でスコアが925増える,コンボ26を達成するごとに50%の確率でスコアが1510増える
142,1,盆踊りするにゃ！,星空凛,701,702,269,270,3,2,3850,4690,3690,ピュアPが6%UPする,9,体力回復,リズムアイコン18個ごとに44%の確率で体力が4回復する,リズムアイコン18個ごとに44%の確率で体力が7回復する
143,1,金魚すくい名人？,西木野真姫,706,707,271,272,3,1,4670,3610,3950,スマイルPが6%UPする,5,判定強化・大,リズムアイコン24個ごとに45%の確率で判定が8.5秒間強化される,リズムアイコン24個ごとに45%の確率で判定が13.3秒間強化される
144,1,お祭り娘,東條希,711,712,273,274,3,3,3610,3910,4710,クールPが6%UPする,11,SCOREアップ,リズムアイコン30個ごとに50%の確率でスコアが860増える,リズムアイコン30個ごとに50%の確率でスコアが1510増える
145,1,晩夏の浴衣美人,園田海未,716,717,275,276,4,1,5240,4190,4360,スマイルPが9%UPする＋μ'sのメンバーはさらにスマイルPが3%UPする,9,体力回復,リズムアイコン22個ごとに82%の確率で体力が6回復する,リズムアイコン22個ごとに82%の確率で体力が20回復する
146,4,None,深山聡子,721,721,277,277,2,1,1,1,1,,,,,
147,4,None,山内奈々子,722,722,278,278,2,2,1,1,1,,,,,
148,4,None,笹原京子,723,723,279,279,2,3,1,1,1,,,,,
149,1,None,相川涼,724,725,280,281,1,3,780,990,2230,,,,,
150,1,わしわし,東條希,729,730,282,283,3,3,4080,3770,4440,クールPが6%UPする,5,判定強化・大,15秒ごとに67%の確率で判定が7.5秒間強化される,15秒ごとに67%の確率で判定が10.6秒間強化される
151,1,None,イザベラ,734,735,284,285,1,3,730,560,2110,,,,,
152,1,あなたとリンゴ飴,絢瀬絵里,739,740,286,287,3,2,3640,4710,3880,ピュアPが6%UPする,11,SCOREアップ,PERFECTを29回達成するごとに50%の確率でスコアが1080増える,PERFECTを29回達成するごとに50%の確率でスコアが1770増える
153,1,夜店めぐり♪,小泉花陽,744,745,288,289,3,1,4730,3890,3610,スマイルPが6%UPする,5,判定強化・大,リズムアイコン26個ごとに49%の確率で判定が8.5秒間強化される,リズムアイコン26個ごとに49%の確率で判定が13.2秒間強化される
154,1,夏休みの思い出,矢澤にこ,749,750,290,291,3,3,3950,3580,4700,クールPが6%UPする,11,SCOREアップ,リズムアイコン23個ごとに50%の確率でスコアが675増える,リズムアイコン23個ごとに50%の確率でスコアが1155増える
155,1,夕涼みガール,南ことり,754,755,292,293,4,3,4250,4340,5200,クールPが9%UPする＋μ'sのメンバーはさらにクールPが3%UPする,9,体力回復,リズムアイコン19個ごとに75%の確率で体力が6回復する,リズムアイコン19個ごとに75%の確率で体力が19回復する
156,1,None,エマ・ヴェルデ,759,760,294,295,1,1,2270,950,780,,,,,
157,1,お月見するにゃ！,星空凛,764,765,296,297,3,2,3870,4410,4010,ピュアPが6%UPする,5,判定強化・大,リズムアイコン29個ごとに58%の確率で判定が8.5秒間強化される,リズムアイコン29個ごとに58%の確率で判定が11.8秒間強化される
